regionName,dataDate,mint,maxt
中部地區,2026-09-23,25.0,33.0
中部地區,2026-09-24,25.0,33.0
中部地區,2026-09-25,24.0,33.0
中部地區,2026-09-26,24.0,33.0
中部地區,2026-09-27,24.0,34.0
中部地區,2026-09-28,25.0,34.0
中部地區,2026-09-29,25.0,34.0
北部地區,2026-09-23,22.0,33.0
北部地區,2026-09-24,22.0,33.0
北部地區,2026-09-25,22.0,33.0
北部地區,2026-09-26,22.0,33.0
北部地區,2026-09-27,22.0,34.0
北部地區,2026-09-28,23.0,32.0
北部地區,2026-09-29,23.0,33.0
南部地區,2026-09-23,25.0,33.0
南部地區,2026-09-24,25.0,33.0
南部地區,2026-09-25,26.0,33.0
南部地區,2026-09-26,26.0,33.0
南部地區,2026-09-27,26.0,33.0
南部地區,2026-09-28,26.0,34.0
南部地區,2026-09-29,26.0,33.0
東北部地區,2026-09-23,23.0,30.0
東北部地區,2026-09-24,23.0,30.0
東北部地區,2026-09-25,24.0,30.0
東北部地區,2026-09-26,24.0,30.0
東北部地區,2026-09-27,23.0,32.0
東北部地區,2026-09-28,23.0,32.0
東北部地區,2026-09-29,24.0,29.0
東南部地區,2026-09-23,25.0,31.0
東南部地區,2026-09-24,25.0,31.0
東南部地區,2026-09-25,25.0,31.0
東南部地區,2026-09-26,25.0,31.0
東南部地區,2026-09-27,25.0,31.0
東南部地區,2026-09-28,25.0,31.0
東南部地區,2026-09-29,25.0,32.0
東部地區,2026-09-23,24.0,30.0
東部地區,2026-09-24,24.0,30.0
東部地區,2026-09-25,24.0,31.0
東部地區,2026-09-26,25.0,31.0
東部地區,2026-09-27,25.0,31.0
東部地區,2026-09-28,25.0,32.0
東部地區,2026-09-29,25.0,31.0
澎湖地區,2026-09-23,26.0,29.0
澎湖地區,2026-09-24,26.0,29.0
澎湖地區,2026-09-25,26.0,30.0
澎湖地區,2026-09-26,26.0,30.0
澎湖地區,2026-09-27,26.0,30.0
澎湖地區,2026-09-28,26.0,30.0
澎湖地區,2026-09-29,26.0,29.0
金門地區,2026-09-23,25.0,30.0
金門地區,2026-09-24,25.0,30.0
金門地區,2026-09-25,25.0,30.0
金門地區,2026-09-26,25.0,30.0
金門地區,2026-09-27,25.0,30.0
金門地區,2026-09-28,25.0,30.0
金門地區,2026-09-29,25.0,31.0
馬祖地區,2026-09-23,25.0,29.0
馬祖地區,2026-09-24,25.0,29.0
馬祖地區,2026-09-25,25.0,28.0
馬祖地區,2026-09-26,25.0,29.0
馬祖地區,2026-09-27,25.0,29.0
馬祖地區,2026-09-28,25.0,29.0
馬祖地區,2026-09-29,25.0,28.0
